Title,Year,IMDB_rating,MPA_rating,Duration,Category,Director
The Shawshank Redemption,1994,9.3,R,2h 22m,Drama,Frank Darabont
The Godfather,1972,9.2,R,2h 55m,Crime,Francis Ford Coppola
The Dark Knight,2008,9.0,PG-13,2h 32m,Action,Christopher Nolan
The Godfather Part II,1974,9.0,R,3h 22m,Crime,Francis Ford Coppola
12 Angry Men,1957,9.0,Approved,1h 36m,Crime,Sidney Lumet
Schindler's List,1993,9.0,R,3h 15m,Biography,Steven Spielberg
The Lord of the Rings: The Return of the King,2003,9.0,PG-13,3h 21m,Action,Peter Jackson
Pulp Fiction,1994,8.9,R,2h 34m,Crime,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,2h 58m,Action,Peter Jackson
"The Good, the Bad and the Ugly",1966,8.8,R,2h 58m,Adventure,Sergio Leone
Forrest Gump,1994,8.8,PG-13,2h 22m,Drama,Robert Zemeckis
Fight Club,1999,8.8,R,2h 19m,Drama,David Fincher
Inception,2010,8.8,PG-13,2h 28m,Action,Christopher Nolan
The Lord of the Rings: The Two Towers,2002,8.8,PG-13,2h 59m,Action,Peter Jackson
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,PG,2h 4m,Action,Irvin Kershner
The Matrix,1999,8.7,R,2h 16m,Action,Lana Wachowski
Goodfellas,1990,8.7,R,2h 25m,Biography,Martin Scorsese
One Flew Over the Cuckoo's Nest,1975,8.7,R,2h 13m,Drama,Milos Forman
Se7en,1995,8.6,R,2h 7m,Crime,David Fincher
Seven Samurai,1954,8.6,Not Rated,3h 27m,Action,Akira Kurosawa
It's a Wonderful Life,1946,8.6,PG,2h 10m,Drama,Frank Capra
The Silence of the Lambs,1991,8.6,R,1h 58m,Crime,Jonathan Demme
City of God,2002,8.6,R,2h 10m,Crime,Fernando Meirelles
Saving Private Ryan,1998,8.6,R,2h 49m,Drama,Steven Spielberg
Life Is Beautiful,1997,8.6,PG-13,1h 56m,Comedy,Roberto Benigni
The Green Mile,1999,8.6,R,3h 9m,Crime,Frank Darabont
Interstellar,2014,8.6,PG-13,2h 49m,Adventure,Christopher Nolan
Star Wars,1977,8.6,PG,2h 1m,Action,George Lucas
Terminator 2: Judgment Day,1991,8.6,R,2h 17m,Action,James Cameron
Back to the Future,1985,8.5,PG,1h 56m,Adventure,Robert Zemeckis
Spirited Away,2001,8.6,PG,2h 5m,Animation,Hayao Miyazaki
Psycho,1960,8.5,R,1h 49m,Horror,Alfred Hitchcock
The Pianist,2002,8.5,R,2h 30m,Biography,Roman Polanski
Léon: The Professional,1994,8.5,R,1h 50m,Action,Luc Besson
Parasite,2019,8.5,R,2h 12m,Comedy,Bong Joon Ho
The Lion King,1994,8.5,G,1h 28m,Animation,Roger Allers
Gladiator,2000,8.5,R,2h 35m,Action,Ridley Scott
American History X,1998,8.5,R,1h 59m,Crime,Tony Kaye
The Usual Suspects,1995,8.5,R,1h 46m,Crime,Bryan Singer
The Departed,2006,8.5,R,2h 31m,Crime,Martin Scorsese
The Prestige,2006,8.5,PG-13,2h 10m,Drama,Christopher Nolan
Casablanca,1942,8.5,PG,1h 42m,Drama,Michael Curtiz
Whiplash,2014,8.5,R,1h 46m,Drama,Damien Chazelle
The Intouchables,2011,8.5,R,1h 52m,Biography,Olivier Nakache
Harakiri,1962,8.6,Not Rated,2h 13m,Action,Masaki Kobayashi
Modern Times,1936,8.5,G,1h 27m,Comedy,Charles Chaplin
Grave of the Fireflies,1988,8.5,Not Rated,1h 29m,Animation,Isao Takahata
Once Upon a Time in the West,1968,8.5,PG-13,2h 45m,Western,Sergio Leone
Top Gun: Maverick,2022,8.6,PG-13,2h 10m,Action,Joseph Kosinski
Rear Window,1954,8.5,PG,1h 52m,Mystery,Alfred Hitchcock
Alien,1979,8.5,R,1h 57m,Horror,Ridley Scott
City Lights,1931,8.5,G,1h 27m,Comedy,Charles Chaplin
Cinema Paradiso,1988,8.5,PG,2h 35m,Drama,Giuseppe Tornatore
Memento,2000,8.4,R,1h 53m,Mystery,Christopher Nolan
Apocalypse Now,1979,8.5,R,2h 27m,Drama,Francis Ford Coppola
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,PG,1h 55m,Action,Steven Spielberg
Django Unchained,2012,8.4,R,2h 45m,Drama,Quentin Tarantino
WALL·E,2008,8.4,G,1h 38m,Animation,Andrew Stanton
The Lives of Others,2006,8.4,R,2h 17m,Drama,Florian Henckel von Donnersmarck
Sunset Blvd.,1950,8.4,Passed,1h 50m,Drama,Billy Wilder
Paths of Glory,1957,8.4,Approved,1h 28m,Drama,Stanley Kubrick
The Shining,1980,8.4,R,2h 26m,Drama,Stanley Kubrick
The Great Dictator,1940,8.4,G,2h 5m,Comedy,Charles Chaplin
Witness for the Prosecution,1957,8.4,Approved,1h 56m,Crime,Billy Wilder
Avengers: Infinity War,2018,8.4,PG-13,2h 29m,Action,Anthony Russo
Aliens,1986,8.4,R,2h 17m,Action,James Cameron
American Beauty,1999,8.4,R,2h 2m,Drama,Sam Mendes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,PG,1h 35m,Comedy,Stanley Kubrick
Spider-Man: Into the Spider-Verse,2018,8.4,PG,1h 57m,Animation,Bob Persichetti
The Dark Knight Rises,2012,8.4,PG-13,2h 44m,Action,Christopher Nolan
Oldboy,2003,8.4,R,2h,Action,Park Chan-wook
Joker,2019,8.4,R,2h 2m,Crime,Todd Phillips
Amadeus,1984,8.4,PG,2h 40m,Biography,Milos Forman
Braveheart,1995,8.4,R,2h 58m,Biography,Mel Gibson
Toy Story,1995,8.3,G,1h 21m,Animation,John Lasseter
Coco,2017,8.4,PG,1h 45m,Animation,Lee Unkrich
The Boat,1981,8.4,,,Drama,Wolfgang Petersen
Inglourious Basterds,2009,8.3,R,2h 33m,Adventure,Quentin Tarantino
Princess Mononoke,1997,8.4,PG-13,2h 14m,Animation,Hayao Miyazaki
Avengers: Endgame,2019,8.4,PG-13,3h 1m,Action,Anthony Russo
Once Upon a Time in America,1984,8.3,R,3h 49m,Crime,Sergio Leone
Good Will Hunting,1997,8.3,R,2h 6m,Drama,Gus Van Sant
Your Name.,2016,8.4,TV-PG,1h 46m,Animation,Makoto Shinkai
Toy Story 3,2010,8.3,G,1h 43m,Animation,Lee Unkrich
Requiem for a Dream,2000,8.3,Unrated,1h 42m,Drama,Darren Aronofsky
Singin' in the Rain,1952,8.3,G,1h 43m,Comedy,Stanley Donen
3 Idiots,2009,8.4,PG-13,2h 50m,Comedy,Rajkumar Hirani
Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG,2h 11m,Action,Richard Marquand
High and Low,1963,8.4,Not Rated,2h 23m,Crime,Akira Kurosawa
